1,Hà Nội,ĐỒNG BẰNG SÔNG HỒNG
2,Vĩnh Phúc,ĐỒNG BẰNG SÔNG HỒNG
3,Bắc Ninh,ĐỒNG BẰNG SÔNG HỒNG
4,Quảng Ninh,ĐỒNG BẰNG SÔNG HỒNG
5,Hải Dương,ĐỒNG BẰNG SÔNG HỒNG
6,Hải Phòng,ĐỒNG BẰNG SÔNG HỒNG
7,Hưng Yên,ĐỒNG BẰNG SÔNG HỒNG
8,Thái Bình,ĐỒNG BẰNG SÔNG HỒNG
9,Hà Nam,ĐỒNG BẰNG SÔNG HỒNG
10,Nam Định,ĐỒNG BẰNG SÔNG HỒNG
11,Ninh Bình,ĐỒNG BẰNG SÔNG HỒNG
12,Hà Giang,TRUNG DU VÀ MIỀN NÚI PHÍA BẮC
13,Cao Bằng,TRUNG DU VÀ MIỀN NÚI PHÍA BẮC
14,Bắc Kạn,TRUNG DU VÀ MIỀN NÚI PHÍA BẮC
15,Tuyên Quang,TRUNG DU VÀ MIỀN NÚI PHÍA BẮC
16,Lào Cai,TRUNG DU VÀ MIỀN NÚI PHÍA BẮC
17,Yên Bái,TRUNG DU VÀ MIỀN NÚI PHÍA BẮC
18,Thái Nguyên,TRUNG DU VÀ MIỀN NÚI PHÍA BẮC
19,Lạng Sơn,TRUNG DU VÀ MIỀN NÚI PHÍA BẮC
20,Bắc Giang,TRUNG DU VÀ MIỀN NÚI PHÍA BẮC
21,Phú Thọ,TRUNG DU VÀ MIỀN NÚI PHÍA BẮC
22,Điện Biên,TRUNG DU VÀ MIỀN NÚI PHÍA BẮC
23,Lai Châu,TRUNG DU VÀ MIỀN NÚI PHÍA BẮC
24,Sơn La,TRUNG DU VÀ MIỀN NÚI PHÍA BẮC
25,Hoà Bình,TRUNG DU VÀ MIỀN NÚI PHÍA BẮC
26,Thanh Hoá,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG
27,Nghệ An,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG
28,Hà Tĩnh,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG
29,Quảng Bình,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG
30,Quảng Trị,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG
31,Thừa Thiên Huế,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG
32,Đà Nẵng,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG
33,Quảng Nam,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG
34,Quảng Ngãi,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG
35,Bình Định,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG
36,Phú Yên,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG
37,Khánh Hoà,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG
38,Ninh Thuận,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG
39,Bình Thuận,BẮC TRUNG BỘ VÀ DUYÊN HẢI MIỀN TRUNG
40,Kon Tum,TÂY NGUYÊN
41,Gia Lai,TÂY NGUYÊN
42,Đắk Lắk,TÂY NGUYÊN
43,Đắk Nông,TÂY NGUYÊN
44,Lâm Đồng,TÂY NGUYÊN
45,Bình Phước,ĐÔNG NAM BỘ
46,Tây Ninh,ĐÔNG NAM BỘ
47,Bình Dương,ĐÔNG NAM BỘ
48,Đồng Nai,ĐÔNG NAM BỘ
49,Bà Rịa - Vũng Tàu,ĐÔNG NAM BỘ
50,TP.Hồ Chí Minh,ĐÔNG NAM BỘ
51,Long An,ĐỒNG BẰNG SÔNG CỬU LONG
52,Tiền Giang,ĐỒNG BẰNG SÔNG CỬU LONG
53,Bến Tre,ĐỒNG BẰNG SÔNG CỬU LONG
54,Trà Vinh,ĐỒNG BẰNG SÔNG CỬU LONG
55,Vĩnh Long,ĐỒNG BẰNG SÔNG CỬU LONG
56,Đồng Tháp,ĐỒNG BẰNG SÔNG CỬU LONG
57,An Giang,ĐỒNG BẰNG SÔNG CỬU LONG
58,Kiên Giang,ĐỒNG BẰNG SÔNG CỬU LONG
59,Cần Thơ,ĐỒNG BẰNG SÔNG CỬU LONG
60,Hậu Giang,ĐỒNG BẰNG SÔNG CỬU LONG
61,Sóc Trăng,ĐỒNG BẰNG SÔNG CỬU LONG
62,Bạc Liêu,ĐỒNG BẰNG SÔNG CỬU LONG
63,Cà Mau,ĐỒNG BẰNG SÔNG CỬU LONG